visit_id,lead_id,scheduled_date,visit_date
V00185,L00644,2025-03-03,2025-03-03
V00186,L00645,2025-03-03,2025-03-03
V00187,L00651,2025-02-14,2025-02-14
V00188,L00652,2025-03-09,2025-03-09
V00189,L00660,2025-03-03,2025-03-03
V00190,L00662,2025-02-12,
V00191,L00663,2025-02-24,
V00192,L00666,2025-03-05,2025-03-05
V00193,L00668,2025-02-28,2025-02-28
V00194,L00674,2025-04-03,2025-04-03
V00195,L00675,2025-03-14,2025-03-14
V00196,L00677,2025-03-30,2025-03-30
V00197,L00678,2025-04-06,2025-04-06
V00198,L00682,2025-03-31,2025-03-31
V00199,L00684,2025-03-29,
V00200,L00685,2025-04-08,
V00201,L00686,2025-03-07,2025-03-07
V00202,L00691,2025-03-19,2025-03-19
V00203,L00693,2025-04-03,2025-04-03
V00204,L00695,2025-03-12,2025-03-12
V00205,L00704,2025-03-12,2025-03-12
V00206,L00706,2025-03-24,2025-03-24
V00207,L00712,2025-03-31,2025-03-31
V00208,L00714,2025-04-04,2025-04-04
V00209,L00717,2025-03-18,2025-03-18
V00210,L00726,2025-04-03,2025-04-03
V00211,L00736,2025-03-22,2025-03-22
V00212,L00741,2025-05-02,2025-05-02
V00213,L00747,2025-05-07,2025-05-07
V00214,L00748,2025-04-13,2025-04-13
V00215,L00750,2025-04-26,2025-04-26
V00216,L00758,2025-04-10,
V00217,L00760,2025-04-19,
V00218,L00764,2025-04-30,2025-04-30
V00219,L00766,2025-04-14,2025-04-14
V00220,L00767,2025-04-15,2025-04-15
V00221,L00769,2025-04-16,2025-04-16
V00222,L00776,2025-04-12,2025-04-12
V00223,L00785,2025-05-06,2025-05-06
V00224,L00789,2025-04-24,2025-04-24
V00225,L00791,2025-04-09,2025-04-09
V00226,L00792,2025-04-16,2025-04-16
V00227,L00793,2025-05-02,2025-05-02
V00228,L00795,2025-04-13,2025-04-13
V00229,L00798,2025-04-22,2025-04-22
V00230,L00800,2025-04-20,2025-04-20
V00231,L00813,2025-05-20,2025-05-20
V00232,L00815,2025-06-04,2025-06-04
V00233,L00822,2025-05-22,2025-05-22
V00234,L00827,2025-05-15,2025-05-15
V00235,L00830,2025-05-24,2025-05-24
V00236,L00831,2025-05-17,
V00237,L00833,2025-05-14,2025-05-14
V00238,L00835,2025-05-26,2025-05-26
V00239,L00837,2025-05-15,2025-05-15
V00240,L00844,2025-05-07,2025-05-07
V00241,L00846,2025-05-19,2025-05-19
V00242,L00847,2025-05-20,2025-05-20
V00243,L00848,2025-05-21,2025-05-21
V00244,L00852,2025-06-01,2025-06-01
V00245,L00853,2025-05-16,2025-05-16
V00246,L00854,2025-05-27,2025-05-27
V00247,L00855,2025-06-02,2025-06-02
V00248,L00857,2025-05-28,2025-05-28
V00249,L00867,2025-05-26,2025-05-26
V00250,L00874,2025-06-07,2025-06-07
V00251,L00875,2025-06-18,2025-06-18
V00252,L00876,2025-06-16,2025-06-16
V00253,L00879,2025-06-26,2025-06-26
V00254,L00882,2025-06-21,
V00255,L00897,2025-06-15,2025-06-15
V00256,L00905,2025-06-24,2025-06-24
V00257,L00906,2025-07-06,2025-07-06
V00258,L00915,2025-07-05,2025-07-05
V00259,L00916,2025-06-06,2025-06-06
V00260,L00917,2025-06-12,2025-06-12
V00261,L00921,2025-06-11,2025-06-11
V00262,L00922,2025-06-18,2025-06-18
V00263,L00925,2025-07-01,2025-07-01
V00264,L00932,2025-06-26,2025-06-26
V00265,L00934,2025-06-19,2025-06-19
V00266,L00940,2025-07-17,
V00267,L00942,2025-07-24,2025-07-24
V00268,L00944,2025-07-19,2025-07-19
V00269,L00945,2025-08-03,2025-08-03
V00270,L00948,2025-07-28,2025-07-28
V00271,L00950,2025-07-10,2025-07-10
V00272,L00952,2025-07-14,2025-07-14
V00273,L00954,2025-07-23,
V00274,L00958,2025-08-01,2025-08-01
V00275,L00970,2025-07-31,2025-07-31
V00276,L00973,2025-07-17,2025-07-17
V00277,L00975,2025-08-02,2025-08-02
V00278,L00984,2025-07-15,2025-07-15
V00279,L00989,2025-07-12,2025-07-12
V00280,L00993,2025-08-04,2025-08-04
V00281,L01000,2025-07-27,2025-07-27
V00282,L01002,2025-07-17,2025-07-17
V00283,L01006,2025-08-06,
V00284,L01007,2025-07-17,2025-07-17
V00285,L01010,2025-08-08,2025-08-08
V00286,L01014,2025-07-20,2025-07-20
V00287,L01016,2025-07-19,2025-07-19
V00288,L01018,2025-07-17,2025-07-17
V00289,L01019,2025-08-01,2025-08-01
V00290,L01021,2025-07-23,2025-07-23
V00291,L01022,2025-07-26,2025-07-26
V00292,L01024,2025-08-06,2025-08-06
V00293,L01027,2025-07-13,2025-07-13
V00294,L01028,2025-08-03,2025-08-03
V00295,L01038,2025-08-16,
V00296,L01040,2025-08-30,2025-08-30
V00297,L01041,2025-08-08,2025-08-08
V00298,L01044,2025-08-28,2025-08-28
V00299,L01053,2025-08-30,2025-08-30
V00300,L01066,2025-08-21,2025-08-21
V00301,L01076,2025-08-27,
V00302,L01085,2025-08-14,2025-08-14
V00303,L01087,2025-09-01,2025-09-01
V00304,L01088,2025-08-09,2025-08-09
V00305,L01094,2025-08-28,2025-08-28
V00306,L01096,2025-08-14,2025-08-14
V00307,L01097,2025-08-19,2025-08-19
V00308,L01103,2025-08-17,2025-08-17
V00309,L01107,2025-08-19,2025-08-19
V00310,L01108,2025-08-12,2025-08-12
V00311,L01115,2025-08-21,2025-08-21
V00312,L01116,2025-09-08,2025-09-08
V00313,L01119,2025-08-11,2025-08-11
V00314,L01123,2025-09-26,2025-09-26
V00315,L01133,2025-10-03,2025-10-03
V00316,L01135,2025-09-16,2025-09-16
V00317,L01137,2025-09-24,2025-09-24
V00318,L01141,2025-09-27,2025-09-27
V00319,L01145,2025-09-09,2025-09-09
V00320,L01148,2025-09-13,2025-09-13
V00321,L01153,2025-09-21,2025-09-21
V00322,L01155,2025-09-24,2025-09-24
V00323,L01165,2025-09-13,2025-09-13
V00324,L01178,2025-09-17,2025-09-17
V00325,L01179,2025-09-28,2025-09-28
V00326,L01182,2025-09-17,2025-09-17
V00327,L01185,2025-09-14,2025-09-14
V00328,L01186,2025-10-02,2025-10-02
V00329,L01187,2025-10-02,
V00330,L01190,2025-09-06,2025-09-06
V00331,L01198,2025-09-23,2025-09-23
V00332,L01203,2025-10-26,2025-10-26
V00333,L01211,2025-10-28,2025-10-28
V00334,L01213,2025-10-21,2025-10-21
V00335,L01214,2025-10-25,2025-10-25
V00336,L01218,2025-10-15,2025-10-15
V00337,L01225,2025-10-08,
V00338,L01234,2025-10-17,
V00339,L01241,2025-10-29,2025-10-29
V00340,L01243,2025-10-26,2025-10-26
V00341,L01244,2025-10-18,
V00342,L01245,2025-10-19,
V00343,L01248,2025-10-11,2025-10-11
V00344,L01253,2025-10-14,2025-10-14
V00345,L01254,2025-10-29,2025-10-29
V00346,L01257,2025-11-02,2025-11-02
V00347,L01263,2025-10-16,2025-10-16
V00348,L01266,2025-10-17,2025-10-17
V00349,L01270,2025-11-07,2025-11-07
V00350,L01279,2025-12-08,2025-12-08
V00351,L01280,2025-11-23,2025-11-23
V00352,L01285,2025-11-18,
V00353,L01290,2025-11-22,
V00354,L01292,2025-11-16,2025-11-16
V00355,L01299,2025-11-11,2025-11-11
V00356,L01301,2025-11-13,2025-11-13
V00357,L01305,2025-11-14,2025-11-14
V00358,L01307,2025-11-08,
V00359,L01308,2025-11-11,2025-11-11
V00360,L01310,2025-11-06,2025-11-06
V00361,L01314,2025-11-23,2025-11-23
V00362,L01320,2025-11-28,2025-11-28
V00363,L01322,2025-11-09,
V00364,L01329,2025-12-04,2025-12-04
V00365,L01335,2025-11-12,2025-11-12
V00366,L01336,2025-11-19,2025-11-19
V00367,L01340,2025-11-28,2025-11-28
V00368,L01343,2025-11-10,2025-11-10
V00369,L01345,2025-11-24,2025-11-24
V00370,L01348,2025-11-26,2025-11-26
V00371,L01350,2025-12-14,2025-12-14
V00372,L01351,2025-12-12,2025-12-12
V00373,L01352,2025-12-30,2025-12-30
V00374,L01360,2025-12-15,2025-12-15
V00375,L01363,2025-12-21,2025-12-21
V00376,L01366,2026-01-04,2026-01-04
V00377,L01371,2025-12-11,2025-12-11
V00378,L01380,2025-12-30,
V00379,L01381,2025-12-28,2025-12-28
V00380,L01384,2025-12-26,
V00381,L01385,2025-12-18,2025-12-18
V00382,L01386,2025-12-22,2025-12-22
V00383,L01387,2025-12-24,2025-12-24
V00384,L01393,2025-12-19,2025-12-19
V00385,L01395,2026-01-02,
V00386,L01396,2025-12-27,
V00387,L01400,2026-01-03,2026-01-03
V00388,L01409,2025-12-14,2025-12-14
V00389,L01410,2025-12-16,
V00390,L01417,2025-12-20,2025-12-20
V00391,L01419,2025-12-16,2025-12-16
V00392,L01422,2025-12-21,2025-12-21
V00393,L01423,2025-12-15,2025-12-15
V00394,L01425,2025-12-15,
V00395,L01427,2025-12-18,2025-12-18
V00396,L01437,2025-08-20,2025-08-20
V00397,L01438,2025-05-29,2025-05-29
V00398,L01440,2024-07-23,2024-07-23
V00399,L01442,2024-09-26,2024-09-26
V00400,L01445,2025-10-20,2025-10-20
V00401,L01447,2024-12-16,2024-12-16
V00402,L01448,2025-12-10,2025-12-10
V00403,L01449,2025-10-02,2025-10-02
V00404,L01453,2024-11-08,2024-11-08
