lead_id,inquiry_date,channel,property_type
L00122,2024-07-16,중개플랫폼,원룸
L00123,2024-07-20,중개플랫폼,원룸
L00124,2024-07-18,중개플랫폼,원룸
L00125,2024-07-17,중개플랫폼,원룸
L00126,2024-07-07,중개플랫폼,원룸
L00127,2024-07-06,중개플랫폼,상가
L00128,2024-07-20,직영,원룸
L00129,2024-07-22,중개플랫폼,투룸
L00130,2024-07-10,중개사,투룸
L00131,2024-07-16,중개사,원룸
L00132,2024-07-15,중개사,원룸
L00133,2024-07-17,직영,원룸
L00134,2024-07-20,중개사,원룸
L00135,2024-07-18,중개플랫폼,상가
L00136,2024-07-21,중개플랫폼,상가
L00137,2024-07-05,중개사,투룸
L00138,2024-07-23,중개사,상가
L00139,2024-07-03,중개사,원룸
L00140,2024-07-08,중개사,원룸
L00141,2024-07-04,중개사,원룸
L00142,2024-07-16,중개플랫폼,투룸
L00143,2024-07-26,중개플랫폼,투룸
L00144,2024-07-23,직영,원룸
L00145,2024-07-23,중개플랫폼,투룸
L00146,2024-07-04,중개플랫폼,투룸
L00147,2024-07-06,중개플랫폼,상가
L00148,2024-07-19,중개사,원룸
L00149,2024-07-23,중개플랫폼,원룸
L00150,2024-07-11,중개플랫폼,상가
L00151,2024-07-16,중개플랫폼,투룸
L00152,2024-07-13,중개사,상가
L00153,2024-07-11,중개플랫폼,원룸
L00154,2024-07-22,직영,투룸
L00155,2024-07-24,중개플랫폼,상가
L00156,2024-07-27,중개사,원룸
L00157,2024-07-14,중개사,원룸
L00158,2024-07-17,중개플랫폼,투룸
L00159,2024-07-13,중개플랫폼,원룸
L00160,2024-07-09,중개플랫폼,상가
L00161,2024-07-21,중개플랫폼,상가
L00162,2024-07-22,직영,원룸
L00163,2024-07-22,중개플랫폼,상가
L00164,2024-07-24,중개사,투룸
L00165,2024-07-18,직영,원룸
L00166,2024-07-03,중개플랫폼,원룸
L00167,2024-07-24,중개플랫폼,상가
L00168,2024-07-22,중개사,원룸
L00169,2024-07-01,중개플랫폼,투룸
L00170,2024-07-01,중개사,원룸
L00171,2024-08-07,중개사,상가
L00172,2024-08-02,중개사,투룸
L00173,2024-08-23,중개플랫폼,원룸
L00174,2024-08-24,중개플랫폼,투룸
L00175,2024-08-16,중개사,상가
L00176,2024-08-21,중개플랫폼,투룸
L00177,2024-08-02,중개플랫폼,투룸
L00178,2024-08-06,직영,투룸
L00179,2024-08-15,,원룸
L00180,2024-08-02,직영,투룸
L00181,2024-08-12,중개플랫폼,원룸
L00182,2024-08-05,직영,원룸
L00183,2024-08-16,중개사,투룸
L00184,2024-08-22,중개플랫폼,상가
L00185,2024-08-16,중개사,투룸
L00186,2024-08-09,중개사,상가
L00187,2024-08-05,중개플랫폼,원룸
L00188,2024-08-05,중개플랫폼,원룸
L00189,2024-08-28,중개플랫폼,원룸
L00190,2024-08-04,중개플랫폼,투룸
L00191,2024-08-12,중개플랫폼,원룸
L00192,2024-08-18,중개플랫폼,투룸
L00193,2024-08-17,중개플랫폼,원룸
L00194,2024-08-09,중개플랫폼,원룸
L00195,2024-08-03,중개사,투룸
L00196,2024-08-17,중개사,투룸
L00197,2024-08-18,중개사,투룸
L00198,2024-08-09,중개플랫폼,투룸
L00199,2024-08-15,,투룸
L00200,2024-08-11,직영,상가
L00201,2024-08-24,중개플랫폼,투룸
L00202,2024-08-15,중개플랫폼,투룸
L00203,2024-08-11,중개플랫폼,원룸
L00204,2024-08-14,중개사,원룸
L00205,2024-08-03,,원룸
L00206,2024-08-08,중개플랫폼,투룸
L00207,2024-08-26,중개사,상가
L00208,2024-08-01,중개플랫폼,원룸
L00209,2024-08-07,중개플랫폼,원룸
L00210,2024-08-17,,상가
L00211,2024-08-13,중개플랫폼,투룸
L00212,2024-08-22,중개사,원룸
L00213,2024-08-26,중개플랫폼,원룸
L00214,2024-08-18,중개플랫폼,원룸
L00215,2024-08-20,중개사,상가
L00216,2024-08-05,중개사,투룸
L00217,2024-09-19,중개플랫폼,원룸
L00218,2024-09-04,중개플랫폼,투룸
L00219,2024-09-02,중개플랫폼,원룸
L00220,2024-09-13,중개플랫폼,상가
L00221,2024-09-27,중개플랫폼,원룸
L00222,2024-09-02,중개플랫폼,투룸
L00223,2024-09-21,중개플랫폼,원룸
L00224,2024-09-14,중개사,투룸
L00225,2024-09-16,,투룸
L00226,2024-09-19,중개플랫폼,원룸
L00227,2024-09-21,중개플랫폼,투룸
L00228,2024-09-16,중개플랫폼,투룸
L00229,2024-09-20,중개플랫폼,상가
L00230,2024-09-24,중개사,상가
L00231,2024-09-11,중개플랫폼,투룸
L00232,2024-09-10,중개플랫폼,원룸
L00233,2024-09-28,중개사,원룸
L00234,2024-09-26,중개플랫폼,원룸
L00235,2024-09-08,직영,원룸
L00236,2024-09-01,중개플랫폼,투룸
L00237,2024-09-16,중개플랫폼,투룸
L00238,2024-09-01,중개사,상가
L00239,2024-09-23,중개플랫폼,투룸
L00240,2024-09-18,직영,투룸
L00241,2024-09-08,중개사,상가
L00242,2024-09-27,중개플랫폼,투룸
L00243,2024-09-23,중개사,투룸
L00244,2024-09-13,직영,상가
L00245,2024-09-05,중개사,투룸
L00246,2024-09-09,중개플랫폼,원룸
L00247,2024-09-09,중개사,원룸
L00248,2024-09-02,직영,원룸
L00249,2024-09-10,중개플랫폼,투룸
L00250,2024-09-28,중개플랫폼,투룸
L00251,2024-09-16,직영,투룸
L00252,2024-09-23,중개플랫폼,원룸
L00253,2024-09-27,중개플랫폼,투룸
L00254,2024-09-02,중개사,투룸
L00255,2024-09-01,중개사,투룸
L00256,2024-09-25,중개플랫폼,원룸
L00257,2024-09-03,직영,원룸
L00258,2024-09-18,중개플랫폼,투룸
L00259,2024-09-15,중개플랫폼,상가
L00260,2024-09-01,중개사,원룸
L00261,2024-09-12,중개플랫폼,상가
L00262,2024-09-24,중개플랫폼,투룸
L00263,2024-09-13,중개플랫폼,상가
L00264,2024-09-12,중개플랫폼,원룸
L00265,2024-09-19,중개사,투룸
L00266,2024-09-10,직영,원룸
L00267,2024-09-22,중개플랫폼,투룸
L00268,2024-09-12,직영,투룸
L00269,2024-09-21,중개플랫폼,상가
L00270,2024-09-17,중개플랫폼,원룸
L00271,2024-09-03,중개플랫폼,원룸
L00272,2024-09-11,중개플랫폼,원룸
L00273,2024-09-27,중개플랫폼,원룸
L00274,2024-09-18,직영,투룸
L00275,2024-09-15,중개플랫폼,상가
L00276,2024-09-16,중개플랫폼,원룸
L00277,2024-09-25,,투룸
L00278,2024-09-26,중개사,투룸
L00279,2024-09-01,중개플랫폼,원룸
L00280,2024-09-09,중개플랫폼,상가
L00281,2024-09-01,중개사,투룸
L00282,2024-09-08,중개사,원룸
L00283,2024-09-25,직영,투룸
L00284,2024-09-14,중개사,상가
L00285,2024-09-08,중개플랫폼,투룸
L00286,2024-09-23,중개플랫폼,투룸
L00287,2024-09-09,중개플랫폼,원룸
L00288,2024-09-27,중개플랫폼,상가
L00289,2024-09-21,중개플랫폼,원룸
L00290,2024-09-03,중개플랫폼,원룸
L00291,2024-09-08,중개플랫폼,원룸
L00292,2024-09-15,중개플랫폼,원룸
L00293,2024-09-22,중개사,원룸
L00294,2024-09-02,중개플랫폼,원룸
L00295,2024-09-07,중개플랫폼,원룸
L00296,2024-09-12,,원룸
L00297,2024-09-04,중개플랫폼,원룸
L00298,2024-09-15,중개플랫폼,투룸
L00299,2024-09-14,중개플랫폼,원룸
L00300,2024-09-24,중개플랫폼,원룸
L00301,2024-09-25,중개플랫폼,원룸
L00302,2024-09-20,직영,원룸
L00303,2024-09-14,중개사,원룸
L00304,2024-09-13,,원룸
L00305,2024-09-01,중개플랫폼,원룸
L00306,2024-09-26,중개플랫폼,원룸
L00307,2024-09-20,중개플랫폼,투룸
L00308,2024-10-18,중개사,원룸
L00309,2024-10-08,중개사,원룸
L00310,2024-10-24,중개사,상가
L00311,2024-10-09,직영,원룸
L00312,2024-10-08,중개사,상가
L00313,2024-10-03,중개사,원룸
L00314,2024-10-11,중개사,투룸
L00315,2024-10-09,,원룸
L00316,2024-10-07,중개플랫폼,원룸
L00317,2024-10-21,중개플랫폼,원룸
L00318,2024-10-10,중개사,투룸
L00319,2024-10-09,중개플랫폼,상가
L00320,2024-10-21,중개사,원룸
L00321,2024-10-22,중개사,원룸
L00322,2024-10-05,중개플랫폼,상가
L00323,2024-10-08,중개플랫폼,상가
L00324,2024-10-01,중개사,원룸
L00325,2024-10-17,직영,투룸
L00326,2024-10-26,중개사,원룸
L00327,2024-10-21,,원룸
L00328,2024-10-02,중개사,투룸
L00329,2024-10-06,중개사,원룸
L00330,2024-10-01,직영,원룸
L00331,2024-10-18,중개사,원룸
L00332,2024-10-18,중개사,투룸
L00333,2024-10-22,중개사,상가
L00334,2024-10-16,중개플랫폼,투룸
L00335,2024-10-27,중개사,투룸
L00336,2024-10-01,중개플랫폼,원룸
L00337,2024-10-22,중개플랫폼,투룸
L00338,2024-10-25,중개플랫폼,상가
L00339,2024-10-08,중개플랫폼,상가
L00340,2024-10-05,직영,원룸
L00341,2024-10-10,중개사,상가
L00342,2024-10-14,,투룸
L00343,2024-10-03,,투룸
L00344,2024-10-21,중개사,원룸
L00345,2024-10-22,직영,투룸
L00346,2024-10-26,중개플랫폼,원룸
L00347,2024-10-13,중개플랫폼,상가
L00348,2024-10-21,,투룸
L00349,2024-10-27,중개플랫폼,원룸
L00350,2024-10-25,중개사,투룸
L00351,2024-10-11,,상가
L00352,2024-10-12,중개플랫폼,원룸
L00353,2024-10-10,중개플랫폼,원룸
L00354,2024-10-11,중개플랫폼,투룸
L00355,2024-10-02,직영,원룸
L00356,2024-10-10,중개플랫폼,투룸
L00357,2024-10-17,,원룸
L00358,2024-10-25,중개플랫폼,투룸
L00359,2024-10-02,중개플랫폼,원룸
L00360,2024-10-14,중개플랫폼,상가
L00361,2024-10-07,중개플랫폼,원룸
L00362,2024-10-19,중개플랫폼,원룸
L00363,2024-10-09,직영,상가
L00364,2024-10-22,,상가
L00365,2024-10-10,중개플랫폼,원룸
L00366,2024-10-27,중개플랫폼,투룸
L00367,2024-10-12,중개사,투룸
L00368,2024-10-03,중개플랫폼,원룸
L00369,2024-10-03,중개플랫폼,상가
L00370,2024-11-08,중개사,원룸
L00371,2024-11-24,중개플랫폼,투룸
L00372,2024-11-11,중개사,원룸
L00373,2024-11-17,중개플랫폼,상가
L00374,2024-11-27,중개플랫폼,원룸
L00375,2024-11-05,중개플랫폼,원룸
L00376,2024-11-24,중개플랫폼,원룸
L00377,2024-11-25,직영,상가
L00378,2024-11-20,중개플랫폼,투룸
L00379,2024-11-21,중개플랫폼,원룸
L00380,2024-11-07,직영,상가
L00381,2024-11-01,중개플랫폼,원룸
L00382,2024-11-22,중개플랫폼,투룸
L00383,2024-11-24,중개플랫폼,원룸
L00384,2024-11-13,직영,원룸
L00385,2024-11-24,중개플랫폼,투룸
L00386,2024-11-27,중개플랫폼,원룸
L00387,2024-11-25,중개플랫폼,상가
L00388,2024-11-01,중개플랫폼,투룸
L00389,2024-11-03,중개플랫폼,투룸
L00390,2024-11-14,중개플랫폼,상가
L00391,2024-11-04,중개사,원룸
L00392,2024-11-23,중개플랫폼,상가
L00393,2024-11-20,,원룸
L00394,2024-11-10,,투룸
L00395,2024-11-02,중개사,원룸
L00396,2024-11-22,직영,원룸
L00397,2024-11-09,중개플랫폼,상가
L00398,2024-11-18,중개플랫폼,원룸
L00399,2024-11-12,중개플랫폼,원룸
L00400,2024-11-13,중개사,원룸
L00401,2024-11-05,중개플랫폼,투룸
L00402,2024-11-26,,투룸
L00403,2024-11-19,중개플랫폼,상가
L00404,2024-11-17,중개플랫폼,원룸
L00405,2024-11-03,중개사,원룸
L00406,2024-11-19,중개플랫폼,상가
L00407,2024-11-21,직영,투룸
L00408,2024-11-21,중개사,원룸
L00409,2024-11-11,중개플랫폼,투룸
L00410,2024-11-27,중개플랫폼,투룸
L00411,2024-11-05,중개플랫폼,상가
L00412,2024-11-21,중개플랫폼,투룸
L00413,2024-11-12,중개플랫폼,원룸
L00414,2024-11-10,중개플랫폼,원룸
L00415,2024-11-10,중개사,투룸
L00416,2024-11-19,중개플랫폼,원룸
L00417,2024-11-23,중개사,상가
L00418,2024-11-06,중개플랫폼,투룸
L00419,2024-11-05,중개플랫폼,원룸
L00420,2024-11-04,중개플랫폼,투룸
L00421,2024-11-26,중개플랫폼,투룸
L00422,2024-11-26,중개사,상가
L00423,2024-11-17,중개플랫폼,투룸
L00424,2024-11-18,중개플랫폼,상가
L00425,2024-11-15,중개사,원룸
L00426,2024-11-12,,상가
L00427,2024-11-27,중개플랫폼,상가
L00428,2024-11-18,직영,원룸
L00429,2024-11-24,중개플랫폼,투룸
L00430,2024-11-16,중개플랫폼,원룸
L00431,2024-11-12,직영,투룸
L00432,2024-11-26,직영,투룸
L00433,2024-11-28,중개사,원룸
L00434,2024-11-22,중개플랫폼,원룸
L00435,2024-11-17,중개플랫폼,원룸
L00436,2024-12-19,중개플랫폼,원룸
L00437,2024-12-19,직영,원룸
L00438,2024-12-23,중개플랫폼,원룸
L00439,2024-12-13,중개사,원룸
L00440,2024-12-23,중개사,원룸
L00441,2024-12-04,직영,원룸
L00442,2024-12-11,중개플랫폼,원룸
L00443,2024-12-12,직영,상가
L00444,2024-12-18,중개플랫폼,원룸
L00445,2024-12-17,중개플랫폼,상가
L00446,2024-12-23,중개사,원룸
L00447,2024-12-20,중개플랫폼,원룸
L00448,2024-12-24,중개사,투룸
L00449,2024-12-09,중개사,상가
L00450,2024-12-20,직영,투룸
L00451,2024-12-03,중개사,상가
L00452,2024-12-03,,원룸
L00453,2024-12-05,중개플랫폼,투룸
L00454,2024-12-12,중개플랫폼,투룸
L00455,2024-12-20,중개사,원룸
L00456,2024-12-24,중개플랫폼,투룸
L00457,2024-12-21,,상가
L00458,2024-12-23,중개플랫폼,상가
L00459,2024-12-26,중개플랫폼,투룸
L00460,2024-12-03,중개플랫폼,원룸
L00461,2024-12-07,중개플랫폼,투룸
L00462,2024-12-01,중개플랫폼,투룸
L00463,2024-12-21,중개플랫폼,원룸
L00464,2024-12-24,직영,투룸
L00465,2024-12-16,중개사,원룸
L00466,2024-12-16,중개플랫폼,투룸
L00467,2024-12-17,중개사,투룸
L00468,2024-12-08,중개사,원룸
L00469,2024-12-09,중개플랫폼,원룸
L00470,2024-12-11,중개사,원룸
L00471,2024-12-22,중개플랫폼,원룸
L00472,2024-12-03,중개사,원룸
L00473,2024-12-20,중개플랫폼,투룸
L00474,2024-12-28,중개플랫폼,원룸
L00475,2024-12-06,직영,상가
L00476,2024-12-25,중개플랫폼,원룸
L00477,2024-12-14,중개플랫폼,투룸
L00478,2024-12-19,중개사,투룸
L00479,2024-12-11,중개사,원룸
L00480,2024-12-24,중개플랫폼,투룸
L00481,2024-12-11,중개플랫폼,원룸
L00482,2024-12-14,중개사,투룸
L00483,2024-12-10,중개플랫폼,원룸
L00484,2024-12-16,중개플랫폼,원룸
L00485,2024-12-13,중개사,원룸
L00486,2024-12-16,,원룸
L00487,2024-12-17,중개사,원룸
L00488,2024-12-26,직영,원룸
L00489,2024-12-24,직영,원룸
L00490,2024-12-14,중개플랫폼,투룸
L00491,2024-12-13,중개사,원룸
L00492,2024-12-06,중개플랫폼,원룸
L00493,2024-12-03,중개플랫폼,원룸
L00494,2024-12-12,직영,원룸
L00495,2024-12-10,중개플랫폼,원룸
L00496,2024-12-11,,투룸
L00497,2024-12-12,,상가
L00498,2024-12-06,중개플랫폼,원룸
L00499,2024-12-02,중개사,원룸
L00500,2024-12-04,직영,투룸
L00501,2024-12-03,중개플랫폼,상가
L00502,2024-12-23,중개플랫폼,원룸
L00503,2024-12-02,직영,투룸
L00504,2024-12-10,중개사,원룸
L00505,2024-12-23,중개플랫폼,원룸
L00506,2024-12-28,직영,원룸
L00507,2024-12-23,중개사,원룸
L00508,2024-12-12,중개플랫폼,원룸
L00509,2024-12-28,직영,투룸
L00510,2024-12-03,중개플랫폼,원룸
L00511,2024-12-13,중개사,상가
L00512,2024-12-13,직영,원룸
L00513,2024-12-22,중개플랫폼,투룸
L00514,2024-12-10,,투룸
L00515,2024-12-10,중개플랫폼,원룸
L00516,2025-01-16,중개플랫폼,원룸
L00517,2025-01-15,중개플랫폼,원룸
L00518,2025-01-21,중개사,투룸
L00519,2025-01-15,중개사,상가
L00520,2025-01-08,중개사,투룸
L00521,2025-01-28,직영,원룸
L00522,2025-01-02,직영,투룸
L00523,2025-01-28,중개플랫폼,투룸
L00524,2025-01-01,중개사,원룸
L00525,2025-01-10,직영,원룸
L00526,2025-01-21,중개플랫폼,원룸
L00527,2025-01-16,중개플랫폼,상가
L00528,2025-01-23,중개플랫폼,투룸
L00529,2025-01-02,중개플랫폼,투룸
L00530,2025-01-08,중개플랫폼,투룸
L00531,2025-01-07,직영,상가
L00532,2025-01-28,중개플랫폼,투룸
L00533,2025-01-27,중개플랫폼,원룸
L00534,2025-01-25,중개사,원룸
L00535,2025-01-07,직영,투룸
L00536,2025-01-16,중개플랫폼,원룸
L00537,2025-01-04,중개플랫폼,투룸
L00538,2025-01-12,중개사,원룸
L00539,2025-01-20,직영,원룸
L00540,2025-01-09,중개플랫폼,원룸
L00541,2025-01-13,중개플랫폼,투룸
L00542,2025-01-20,중개플랫폼,투룸
L00543,2025-01-04,중개플랫폼,투룸
L00544,2025-01-02,중개플랫폼,원룸
L00545,2025-01-17,중개플랫폼,원룸
L00546,2025-01-06,직영,원룸
L00547,2025-01-07,직영,원룸
L00548,2025-01-23,중개사,상가
L00549,2025-01-25,중개플랫폼,원룸
L00550,2025-01-18,중개플랫폼,투룸
L00551,2025-01-11,직영,원룸
L00552,2025-01-28,중개사,원룸
L00553,2025-01-15,중개플랫폼,상가
L00554,2025-01-26,중개사,원룸
L00555,2025-01-08,중개사,원룸
L00556,2025-01-02,중개플랫폼,상가
L00557,2025-01-25,중개플랫폼,원룸
L00558,2025-01-16,,상가
L00559,2025-01-09,중개플랫폼,원룸
L00560,2025-01-09,직영,원룸
L00561,2025-01-19,중개사,투룸
L00562,2025-01-25,직영,투룸
L00563,2025-01-11,중개플랫폼,투룸
L00564,2025-01-27,중개플랫폼,투룸
L00565,2025-01-28,직영,투룸
L00566,2025-01-26,중개플랫폼,원룸
L00567,2025-01-25,중개플랫폼,원룸
L00568,2025-01-11,중개플랫폼,원룸
L00569,2025-01-16,중개플랫폼,상가
L00570,2025-01-22,중개사,원룸
L00571,2025-01-09,중개플랫폼,상가
L00572,2025-01-05,,투룸
L00573,2025-01-19,직영,원룸
L00574,2025-01-27,중개플랫폼,원룸
L00575,2025-01-27,중개플랫폼,투룸
L00576,2025-01-02,직영,투룸
L00577,2025-01-19,중개플랫폼,투룸
L00578,2025-01-18,중개사,상가
L00579,2025-01-18,중개플랫폼,원룸
L00580,2025-01-27,중개플랫폼,원룸
L00581,2025-01-18,중개플랫폼,투룸
L00582,2025-01-27,중개플랫폼,원룸
L00583,2025-01-18,중개사,투룸
L00584,2025-01-09,중개플랫폼,원룸
L00585,2025-01-22,중개플랫폼,상가
L00586,2025-01-21,중개플랫폼,원룸
L00587,2025-01-17,중개플랫폼,투룸
L00588,2025-01-14,중개플랫폼,상가
L00589,2025-01-03,중개플랫폼,원룸
L00590,2025-02-14,중개사,원룸
L00591,2025-02-21,중개플랫폼,상가
L00592,2025-02-18,중개플랫폼,상가
L00593,2025-02-08,중개플랫폼,투룸
L00594,2025-02-14,중개사,투룸
L00595,2025-02-26,중개사,상가
L00596,2025-02-12,중개사,원룸
L00597,2025-02-13,중개사,상가
L00598,2025-02-19,중개플랫폼,원룸
L00599,2025-02-18,중개플랫폼,투룸
L00600,2025-02-23,중개플랫폼,원룸
L00601,2025-02-17,,원룸
L00602,2025-02-21,중개사,투룸
L00603,2025-02-07,중개플랫폼,원룸
L00604,2025-02-26,직영,원룸
L00605,2025-02-08,중개플랫폼,투룸
L00606,2025-02-06,직영,투룸
L00607,2025-02-05,중개플랫폼,원룸
L00608,2025-02-20,,원룸
L00609,2025-02-11,중개플랫폼,원룸
L00610,2025-02-08,중개사,투룸
L00611,2025-02-05,중개플랫폼,투룸
L00612,2025-02-02,중개사,투룸
L00613,2025-02-06,중개사,원룸
L00614,2025-02-13,중개플랫폼,원룸
L00615,2025-02-07,중개플랫폼,원룸
L00616,2025-02-14,중개사,원룸
L00617,2025-02-06,중개플랫폼,원룸
L00618,2025-02-08,중개플랫폼,원룸
L00619,2025-02-26,,상가
L00620,2025-02-07,중개플랫폼,투룸
L00621,2025-02-01,직영,투룸
L00622,2025-02-25,직영,상가
L00623,2025-02-15,중개플랫폼,원룸
L00624,2025-02-23,중개플랫폼,원룸
L00625,2025-02-14,중개플랫폼,투룸
L00626,2025-02-14,중개사,투룸
L00627,2025-02-28,중개플랫폼,투룸
L00628,2025-02-04,중개사,상가
L00629,2025-02-19,직영,원룸
L00630,2025-02-25,중개플랫폼,원룸
L00631,2025-02-24,직영,원룸
L00632,2025-02-17,중개사,원룸
L00633,2025-02-07,중개플랫폼,원룸
L00634,2025-02-05,직영,원룸
L00635,2025-02-02,중개사,원룸
L00636,2025-02-24,중개플랫폼,투룸
L00637,2025-02-28,직영,원룸
L00638,2025-02-08,중개사,투룸
L00639,2025-02-12,,상가
L00640,2025-02-07,중개플랫폼,원룸
L00641,2025-02-28,중개플랫폼,투룸
L00642,2025-02-13,중개사,원룸
L00643,2025-02-21,중개플랫폼,원룸
L00644,2025-02-24,중개사,상가
L00645,2025-02-25,중개플랫폼,투룸
L00646,2025-02-02,중개사,원룸
L00647,2025-02-04,중개사,원룸
L00648,2025-02-12,,원룸
L00649,2025-02-16,중개플랫폼,상가
L00650,2025-02-12,중개사,투룸
L00651,2025-02-04,중개플랫폼,원룸
L00652,2025-02-28,직영,원룸
L00653,2025-02-28,중개사,원룸
L00654,2025-02-21,중개플랫폼,원룸
L00655,2025-02-05,중개플랫폼,원룸
L00656,2025-02-06,중개사,상가
L00657,2025-02-16,중개플랫폼,원룸
L00658,2025-02-23,중개플랫폼,원룸
L00659,2025-02-01,중개플랫폼,원룸
L00660,2025-02-27,중개사,원룸
L00661,2025-02-08,중개플랫폼,투룸
L00662,2025-02-01,중개사,원룸
L00663,2025-02-11,직영,투룸
L00664,2025-02-26,중개플랫폼,원룸
L00665,2025-02-25,중개플랫폼,투룸
L00666,2025-02-25,중개사,원룸
L00667,2025-02-04,직영,투룸
L00668,2025-02-22,중개플랫폼,상가
L00669,2025-03-28,중개사,투룸
L00670,2025-03-21,중개플랫폼,원룸
L00671,2025-03-28,중개플랫폼,투룸
L00672,2025-03-07,중개사,원룸
L00673,2025-03-24,직영,원룸
L00674,2025-03-23,중개사,투룸
