contract_id,lead_id,contract_start_date,contract_end_date,monthly_rent,channel,property_type,status
K00054,L00492,2024-12-19,2025-12-19,450000,중개플랫폼,원룸,재계약
K00055,L00505,2025-01-20,2026-01-20,650000,중개플랫폼,원룸,계약중
K00056,L00531,2025-01-30,2026-01-30,650000,직영,상가,계약중
K00057,L00561,2025-02-12,2026-02-12,650000,중개사,투룸,계약중
K00058,L00567,2025-02-08,2026-02-08,550000,중개플랫폼,원룸,계약중
K00059,L00573,2025-01-28,2026-01-28,800000,직영,원룸,계약중
K00060,L00574,2025-02-21,2026-02-21,450000,중개플랫폼,원룸,계약중
K00061,L00588,2025-02-09,2026-02-09,800000,중개플랫폼,상가,계약중
K00062,L00613,2025-03-06,2026-03-06,650000,중개사,원룸,계약중
K00063,L00634,2025-02-24,2026-02-24,1200000,직영,원룸,계약중
K00064,L00636,2025-03-14,2026-03-14,650000,중개플랫폼,투룸,계약중
K00065,L00641,2025-03-11,2026-03-11,650000,중개플랫폼,투룸,계약중
K00066,L00645,2025-03-10,2026-03-10,1200000,중개플랫폼,투룸,계약중
K00067,L00652,2025-03-21,2026-03-21,650000,직영,원룸,계약중
K00068,L00660,2025-03-18,2026-03-18,650000,중개사,원룸,계약중
K00069,L00674,2025-04-22,2026-04-22,550000,중개사,투룸,계약중
K00070,L00712,2025-04-12,2026-04-12,650000,직영,원룸,계약중
K00071,L00717,2025-03-23,2026-03-23,450000,중개사,원룸,계약중
K00072,L00726,2025-04-21,2026-04-21,800000,중개사,투룸,계약중
K00073,L00741,2025-05-18,2026-05-18,550000,직영,투룸,계약중
K00074,L00764,2025-05-11,2026-05-11,1200000,직영,원룸,계약중
K00075,L00769,2025-04-26,2026-04-26,800000,중개사,투룸,계약중
K00076,L00791,2025-04-16,2026-04-16,450000,중개사,상가,계약중
K00077,L00798,2025-05-06,2026-05-06,1200000,직영,상가,계약중
K00078,L00813,2025-05-25,2026-05-25,1200000,직영,상가,계약중
K00079,L00815,2025-06-08,2026-06-08,650000,중개플랫폼,원룸,계약중
K00080,L00827,2025-05-24,2026-05-24,650000,중개플랫폼,원룸,계약중
K00081,L00844,2025-05-15,2026-05-15,1200000,중개플랫폼,원룸,계약중
K00082,L00852,2025-06-14,2026-06-14,650000,직영,원룸,계약중
K00083,L00853,2025-05-25,2026-05-25,450000,중개사,원룸,계약중
K00084,L00854,2025-06-03,2026-06-03,450000,직영,원룸,계약중
K00085,L00875,2025-06-21,2026-06-21,650000,중개사,원룸,계약중
K00086,L00905,2025-07-13,2026-07-13,550000,직영,원룸,계약중
K00087,L00906,2025-07-12,2026-07-12,450000,중개사,원룸,계약중
K00088,L00915,2025-07-24,2026-07-24,450000,중개사,상가,계약중
K00089,L00917,2025-06-22,2026-06-22,450000,중개플랫폼,원룸,계약중
K00090,L00925,2025-07-06,2026-07-06,550000,중개플랫폼,상가,계약중
K00091,L00932,2025-07-08,2026-07-08,550000,중개플랫폼,투룸,계약중
K00092,L00942,2025-08-10,2026-08-10,1200000,중개플랫폼,원룸,계약중
K00093,L00944,2025-08-07,2026-08-07,450000,중개플랫폼,원룸,계약중
K00094,L00945,2025-08-19,2026-08-19,800000,중개플랫폼,상가,계약중
K00095,L00950,2025-07-23,2026-07-23,550000,직영,투룸,계약중
K00096,L00952,2025-07-28,2026-07-28,550000,중개플랫폼,원룸,계약중
K00097,L00970,2025-08-08,2026-08-08,550000,중개사,원룸,계약중
K00098,L00993,2025-08-14,2026-08-14,550000,중개플랫폼,투룸,계약중
K00099,L01002,2025-08-02,2026-08-02,800000,중개플랫폼,투룸,계약중
K00100,L01010,2025-08-19,2026-08-19,550000,중개플랫폼,원룸,계약중
K00101,L01014,2025-07-28,2026-07-28,650000,중개플랫폼,원룸,계약중
K00102,L01018,2025-07-24,2026-07-24,650000,중개플랫폼,원룸,계약중
K00103,L01022,2025-08-01,2026-08-01,650000,중개플랫폼,투룸,계약중
K00104,L01024,2025-08-09,2026-08-09,550000,중개사,투룸,계약중
K00105,L01040,2025-09-15,2026-09-15,550000,중개사,원룸,계약중
K00106,L01041,2025-08-17,2026-08-17,650000,중개플랫폼,상가,중도해지
K00107,L01053,2025-09-17,2026-09-17,450000,중개사,투룸,계약중
K00108,L01066,2025-08-27,2026-08-27,450000,중개사,원룸,계약중
K00109,L01096,2025-08-22,2026-08-22,450000,중개플랫폼,상가,계약중
K00110,L01097,2025-08-25,2026-08-25,650000,직영,투룸,계약중
K00111,L01115,2025-08-24,2026-08-24,1200000,중개플랫폼,원룸,계약중
K00112,L01116,2025-09-20,2026-09-20,550000,중개사,원룸,계약중
K00113,L01123,2025-10-14,2026-10-14,450000,중개플랫폼,상가,계약중
K00114,L01133,2025-10-17,2026-10-17,650000,중개플랫폼,투룸,계약중
K00115,L01135,2025-09-21,2026-09-21,650000,중개사,원룸,계약중
K00116,L01137,2025-10-09,2026-10-09,550000,중개플랫폼,투룸,계약중
K00117,L01145,2025-09-23,2026-09-23,1200000,중개플랫폼,투룸,계약중
K00118,L01148,2025-09-18,2026-09-18,650000,중개플랫폼,원룸,계약중
K00119,L01153,2025-09-30,2026-09-30,450000,중개플랫폼,투룸,계약중
K00120,L01182,2025-10-05,2026-10-05,800000,중개플랫폼,원룸,계약중
K00121,L01190,2025-09-22,2026-09-22,650000,중개사,투룸,계약중
K00122,L01213,2025-11-06,2026-11-06,800000,직영,원룸,계약중
K00123,L01214,2025-11-03,2026-11-03,1200000,직영,원룸,계약중
K00124,L01218,2025-10-21,2026-10-21,450000,중개사,원룸,계약중
K00125,L01279,2025-12-27,2026-12-27,450000,중개플랫폼,투룸,계약중
K00126,L01280,2025-12-06,2026-12-06,1200000,중개플랫폼,원룸,계약중
K00127,L01310,2025-11-16,2026-11-16,550000,중개사,투룸,중도해지
K00128,L01320,2025-12-10,2026-12-10,550000,중개사,원룸,계약중
K00129,L01329,2025-12-17,2026-12-17,800000,중개플랫폼,원룸,계약중
K00130,L01335,2025-11-21,2026-11-21,550000,중개플랫폼,원룸,계약중
K00131,L01336,2025-12-03,2026-12-03,800000,중개사,원룸,계약중
K00132,L01345,2025-12-08,2026-12-08,450000,직영,원룸,계약중
K00133,L01348,2025-12-05,2026-12-05,550000,중개플랫폼,상가,계약중
K00134,L01371,2025-12-15,2026-12-15,650000,중개플랫폼,투룸,계약중
K00135,L01385,2025-12-29,2026-12-29,450000,중개플랫폼,투룸,계약중
K00136,L01409,2025-12-29,2026-12-29,800000,직영,투룸,계약중
K00137,L01417,2025-12-31,2026-12-31,450000,중개사,투룸,계약중
K00138,L01423,2025-12-20,2026-12-20,450000,중개플랫폼,투룸,계약중
K00139,L01449,2025-10-05,2026-10-05,450000,중개플랫폼,원룸,계약중
