consultation_id,lead_id,consult_date,counselor_id,result
C00046,L00076,2024-06-15,CS06,보류
C00047,L00078,2024-06-08,CS06,진행
C00048,L00080,2024-07-26,CS05,진행
C00049,L00082,2024-07-17,CS08,진행
C00050,L00085,2024-07-14,CS05,진행
C00051,L00086,2024-07-09,CS06,거절
C00052,L00087,2024-07-17,CS04,진행
C00053,L00088,2024-07-05,CS04,진행
C00054,L00089,2024-07-17,CS05,진행
C00055,L00090,2024-07-21,CS08,진행
C00056,L00093,2024-07-03,CS03,보류
C00057,L00095,2024-07-20,CS07,진행
C00058,L00097,2024-07-16,CS04,거절
C00059,L00098,2024-07-10,CS08,진행
C00060,L00099,2024-07-10,CS05,진행
C00061,L00102,2024-07-14,CS04,진행
C00062,L00105,2024-07-10,CS07,진행
C00063,L00107,2024-07-18,CS01,진행
C00064,L00108,2024-07-09,CS08,진행
C00065,L00109,2024-07-27,CS07,진행
C00066,L00111,2024-07-31,CS08,진행
C00067,L00113,2024-07-28,CS02,진행
C00068,L00117,2024-07-16,CS05,진행
C00069,L00118,2024-07-30,CS01,진행
C00070,L00119,2024-07-10,CS05,진행
C00071,L00120,2024-07-26,CS01,진행
C00072,L00121,2024-07-27,CS01,진행
C00073,L00122,2024-07-17,CS03,거절
C00074,L00123,2024-07-23,CS06,진행
C00075,L00125,2024-07-21,CS05,진행
C00076,L00126,2024-07-09,CS06,보류
C00077,L00127,2024-07-09,CS02,진행
C00078,L00128,2024-07-23,CS06,보류
C00079,L00130,2024-07-12,CS05,진행
C00080,L00131,2024-07-20,CS03,보류
C00081,L00132,2024-07-17,CS04,진행
C00082,L00133,2024-07-20,CS05,진행
C00083,L00134,2024-07-22,CS06,거절
C00084,L00135,2024-07-22,CS08,보류
C00085,L00136,2024-07-24,CS04,진행
C00086,L00139,2024-07-07,CS06,보류
C00087,L00140,2024-07-12,CS05,진행
C00088,L00141,2024-07-06,CS08,진행
C00089,L00142,2024-07-20,CS02,진행
C00090,L00143,2024-07-28,CS05,진행
C00091,L00144,2024-07-24,CS05,보류
C00092,L00145,2024-07-27,CS07,진행
C00093,L00149,2024-07-26,CS07,진행
C00094,L00150,2024-07-15,CS02,진행
C00095,L00151,2024-07-19,CS03,거절
C00096,L00152,2024-07-14,CS06,보류
C00097,L00153,2024-07-12,CS07,진행
C00098,L00154,2024-07-25,CS06,진행
C00099,L00157,2024-07-16,CS07,진행
C00100,L00161,2024-07-24,CS06,진행
C00101,L00164,2024-07-26,CS04,진행
C00102,L00165,2024-07-22,CS06,진행
C00103,L00166,2024-07-07,CS05,진행
C00104,L00167,2024-07-25,CS06,보류
C00105,L00169,2024-07-05,CS07,진행
C00106,L00171,2024-08-09,CS07,보류
C00107,L00172,2024-08-03,CS06,진행
C00108,L00173,2024-08-27,CS01,진행
C00109,L00174,2024-08-26,CS03,진행
C00110,L00175,2024-08-17,CS04,진행
C00111,L00178,2024-08-10,CS06,진행
C00112,L00180,2024-08-06,CS02,보류
C00113,L00182,2024-08-09,CS06,보류
C00114,L00183,2024-08-18,CS07,진행
C00115,L00184,2024-08-26,CS03,진행
C00116,L00185,2024-08-20,CS05,진행
C00117,L00186,2024-08-12,CS01,진행
C00118,L00187,2024-08-06,CS06,보류
C00119,L00188,2024-08-06,CS03,진행
C00120,L00190,2024-08-05,CS03,보류
C00121,L00191,2024-08-15,CS06,보류
C00122,L00192,2024-08-21,CS05,진행
C00123,L00194,2024-08-13,CS04,진행
C00124,L00195,2024-08-04,CS01,진행
C00125,L00199,2024-08-17,CS08,보류
C00126,L00200,2024-08-12,CS02,거절
C00127,L00201,2024-08-28,CS06,진행
C00128,L00202,2024-08-18,CS08,진행
C00129,L00206,2024-08-09,CS07,진행
C00130,L00207,2024-08-27,CS04,보류
C00131,L00208,2024-08-03,CS07,진행
C00132,L00209,2024-08-09,CS06,진행
C00133,L00210,2024-08-21,CS02,진행
C00134,L00212,2024-08-25,CS08,진행
C00135,L00214,2024-08-20,CS06,진행
C00136,L00215,2024-08-22,CS08,진행
C00137,L00216,2024-08-09,CS03,진행
C00138,L00217,2024-09-22,CS01,진행
C00139,L00218,2024-09-07,CS06,진행
C00140,L00219,2024-09-05,CS08,진행
C00141,L00220,2024-09-15,CS08,진행
C00142,L00221,2024-09-28,CS02,진행
C00143,L00223,2024-09-25,CS02,진행
C00144,L00224,2024-09-17,CS06,거절
C00145,L00225,2024-09-18,CS08,진행
C00146,L00227,2024-09-24,CS04,진행
C00147,L00228,2024-09-18,CS01,진행
C00148,L00229,2024-09-24,CS04,진행
C00149,L00230,2024-09-27,CS06,진행
C00150,L00231,2024-09-14,CS05,진행
C00151,L00233,2024-09-29,CS02,보류
C00152,L00234,2024-09-30,CS07,진행
C00153,L00235,2024-09-10,CS04,진행
C00154,L00236,2024-09-05,CS05,보류
C00155,L00238,2024-09-04,CS03,진행
C00156,L00240,2024-09-20,CS08,진행
C00157,L00241,2024-09-12,CS01,진행
C00158,L00243,2024-09-27,CS01,거절
C00159,L00244,2024-09-15,CS06,진행
C00160,L00245,2024-09-07,CS07,진행
C00161,L00248,2024-09-06,CS05,진행
C00162,L00249,2024-09-11,CS06,거절
C00163,L00250,2024-09-29,CS05,보류
C00164,L00251,2024-09-17,CS02,진행
C00165,L00253,2024-09-28,CS07,진행
C00166,L00254,2024-09-03,CS08,진행
C00167,L00255,2024-09-02,CS02,진행
C00168,L00257,2024-09-07,CS05,진행
C00169,L00259,2024-09-19,CS02,진행
C00170,L00260,2024-09-05,CS07,진행
C00171,L00261,2024-09-16,CS04,진행
C00172,L00262,2024-09-28,CS05,진행
C00173,L00264,2024-09-13,CS04,진행
C00174,L00266,2024-09-13,CS08,진행
C00175,L00268,2024-09-14,CS05,보류
C00176,L00270,2024-09-18,CS08,진행
C00177,L00271,2024-09-05,CS05,진행
C00178,L00272,2024-09-13,CS01,진행
C00179,L00274,2024-09-19,CS06,진행
C00180,L00275,2024-09-16,CS01,진행
C00181,L00277,2024-09-28,CS08,진행
C00182,L00279,2024-09-04,CS08,진행
C00183,L00280,2024-09-13,CS04,진행
C00184,L00281,2024-09-02,CS08,진행
C00185,L00282,2024-09-12,CS05,진행
C00186,L00283,2024-09-28,CS02,진행
C00187,L00285,2024-09-11,CS02,진행
C00188,L00287,2024-09-10,CS02,진행
C00189,L00288,2024-09-30,CS06,진행
C00190,L00289,2024-09-22,CS01,진행
C00191,L00291,2024-09-10,CS04,진행
C00192,L00292,2024-09-17,CS01,진행
C00193,L00293,2024-09-26,CS03,진행
C00194,L00294,2024-09-04,CS06,진행
C00195,L00295,2024-09-08,CS07,보류
C00196,L00296,2024-09-14,CS04,진행
C00197,L00299,2024-09-16,CS07,진행
C00198,L00302,2024-09-21,CS02,진행
C00199,L00304,2024-09-14,CS04,진행
C00200,L00305,2024-09-02,CS04,진행
C00201,L00306,2024-09-30,CS03,진행
C00202,L00308,2024-10-20,CS02,진행
C00203,L00310,2024-10-25,CS03,보류
C00204,L00311,2024-10-11,CS02,진행
C00205,L00313,2024-10-07,CS06,진행
C00206,L00314,2024-10-12,CS04,진행
C00207,L00315,2024-10-10,CS04,진행
C00208,L00320,2024-10-25,CS06,진행
C00209,L00321,2024-10-24,CS07,진행
C00210,L00324,2024-10-02,CS01,보류
C00211,L00325,2024-10-21,CS04,진행
C00212,L00326,2024-10-28,CS03,진행
C00213,L00327,2024-10-25,CS01,진행
C00214,L00329,2024-10-08,CS04,거절
C00215,L00330,2024-10-02,CS04,진행
C00216,L00331,2024-10-20,CS01,거절
C00217,L00332,2024-10-19,CS03,진행
C00218,L00339,2024-10-12,CS07,진행
C00219,L00340,2024-10-09,CS08,진행
C00220,L00341,2024-10-11,CS01,진행
C00221,L00342,2024-10-16,CS03,진행
C00222,L00344,2024-10-24,CS04,진행
C00223,L00345,2024-10-24,CS01,진행
C00224,L00347,2024-10-15,CS04,진행
C00225,L00348,2024-10-22,CS04,진행
C00226,L00350,2024-10-26,CS01,진행
C00227,L00351,2024-10-15,CS08,진행
C00228,L00353,2024-10-13,CS03,진행
C00229,L00355,2024-10-04,CS06,진행
C00230,L00357,2024-10-20,CS04,진행
C00231,L00359,2024-10-04,CS02,진행
C00232,L00360,2024-10-17,CS05,진행
C00233,L00363,2024-10-11,CS05,진행
C00234,L00365,2024-10-13,CS03,진행
C00235,L00366,2024-10-29,CS05,진행
C00236,L00367,2024-10-14,CS02,진행
C00237,L00369,2024-10-05,CS07,진행
C00238,L00370,2024-11-09,CS03,진행
C00239,L00371,2024-11-25,CS02,진행
C00240,L00373,2024-11-21,CS06,진행
C00241,L00375,2024-11-09,CS02,진행
C00242,L00376,2024-11-25,CS01,보류
C00243,L00377,2024-11-29,CS02,진행
C00244,L00379,2024-11-24,CS05,진행
C00245,L00380,2024-11-11,CS01,보류
C00246,L00381,2024-11-02,CS06,보류
C00247,L00382,2024-11-25,CS04,거절
C00248,L00383,2024-11-28,CS05,진행
C00249,L00386,2024-12-01,CS05,진행
C00250,L00387,2024-11-29,CS06,진행
C00251,L00391,2024-11-08,CS03,거절
C00252,L00392,2024-11-24,CS03,보류
C00253,L00395,2024-11-06,CS06,거절
C00254,L00396,2024-11-23,CS06,진행
C00255,L00399,2024-11-13,CS02,거절
C00256,L00402,2024-11-28,CS07,보류
C00257,L00403,2024-11-21,CS05,진행
C00258,L00404,2024-11-18,CS03,거절
C00259,L00406,2024-11-22,CS08,진행
C00260,L00407,2024-11-23,CS07,진행
C00261,L00408,2024-11-25,CS03,진행
C00262,L00410,2024-11-29,CS08,거절
C00263,L00411,2024-11-06,CS07,진행
C00264,L00415,2024-11-14,CS07,진행
C00265,L00416,2024-11-20,CS05,거절
C00266,L00417,2024-11-26,CS07,진행
C00267,L00419,2024-11-08,CS08,진행
C00268,L00420,2024-11-07,CS07,보류
C00269,L00421,2024-11-29,CS05,진행
C00270,L00422,2024-11-27,CS02,진행
C00271,L00423,2024-11-18,CS01,진행
C00272,L00424,2024-11-21,CS05,진행
C00273,L00426,2024-11-13,CS04,보류
C00274,L00427,2024-11-30,CS05,진행
C00275,L00428,2024-11-19,CS02,진행
C00276,L00429,2024-11-25,CS06,진행
C00277,L00430,2024-11-17,CS04,진행
C00278,L00431,2024-11-16,CS05,진행
C00279,L00433,2024-12-01,CS06,거절
C00280,L00434,2024-11-23,CS01,진행
C00281,L00435,2024-11-19,CS06,진행
C00282,L00437,2024-12-22,CS04,진행
C00283,L00438,2024-12-27,CS01,진행
C00284,L00439,2024-12-17,CS01,진행
C00285,L00440,2024-12-26,CS06,진행
C00286,L00441,2024-12-06,CS06,진행
C00287,L00443,2024-12-16,CS08,진행
C00288,L00445,2024-12-21,CS05,진행
C00289,L00446,2024-12-26,CS06,보류
C00290,L00450,2024-12-24,CS01,진행
C00291,L00454,2024-12-13,CS02,보류
C00292,L00456,2024-12-28,CS05,진행
C00293,L00457,2024-12-25,CS08,보류
C00294,L00459,2024-12-29,CS02,진행
C00295,L00460,2024-12-04,CS07,진행
C00296,L00461,2024-12-08,CS05,보류
C00297,L00462,2024-12-03,CS01,진행
C00298,L00464,2024-12-27,CS08,진행
C00299,L00465,2024-12-17,CS03,진행
C00300,L00466,2024-12-18,CS01,진행
C00301,L00467,2024-12-20,CS06,진행
C00302,L00469,2024-12-13,CS01,진행
C00303,L00470,2024-12-14,CS06,진행
C00304,L00472,2024-12-04,CS02,거절
C00305,L00473,2024-12-24,CS08,진행
C00306,L00474,2024-12-29,CS01,진행
C00307,L00475,2024-12-08,CS03,진행
C00308,L00476,2024-12-26,CS01,진행
C00309,L00478,2024-12-20,CS03,진행
C00310,L00479,2024-12-15,CS08,진행
C00311,L00481,2024-12-13,CS07,진행
C00312,L00482,2024-12-18,CS03,진행
C00313,L00483,2024-12-13,CS01,진행
C00314,L00485,2024-12-17,CS02,진행
C00315,L00486,2024-12-18,CS02,진행
C00316,L00487,2024-12-20,CS04,진행
C00317,L00488,2024-12-29,CS02,진행
C00318,L00489,2024-12-28,CS07,진행
C00319,L00491,2024-12-14,CS01,진행
C00320,L00492,2024-12-07,CS04,진행
C00321,L00493,2024-12-07,CS02,보류
C00322,L00494,2024-12-15,CS03,거절
C00323,L00498,2024-12-08,CS03,보류
C00324,L00499,2024-12-06,CS04,진행
C00325,L00500,2024-12-06,CS06,진행
C00326,L00502,2024-12-24,CS06,진행
C00327,L00504,2024-12-11,CS06,진행
C00328,L00505,2024-12-26,CS06,진행
C00329,L00509,2024-12-30,CS03,진행
C00330,L00511,2024-12-16,CS06,보류
C00331,L00514,2024-12-14,CS04,진행
C00332,L00515,2024-12-14,CS04,진행
C00333,L00516,2025-01-18,CS02,보류
C00334,L00517,2025-01-18,CS04,진행
C00335,L00520,2025-01-10,CS08,진행
C00336,L00521,2025-01-29,CS05,진행
C00337,L00522,2025-01-05,CS05,보류
C00338,L00524,2025-01-02,CS08,진행
C00339,L00525,2025-01-11,CS02,진행
C00340,L00527,2025-01-17,CS05,보류
C00341,L00528,2025-01-25,CS02,진행
C00342,L00529,2025-01-03,CS02,진행
C00343,L00531,2025-01-11,CS02,진행
C00344,L00532,2025-01-29,CS08,진행
C00345,L00534,2025-01-28,CS04,진행
C00346,L00538,2025-01-16,CS02,진행
C00347,L00539,2025-01-21,CS03,진행
C00348,L00541,2025-01-16,CS08,진행
C00349,L00543,2025-01-05,CS04,진행
C00350,L00545,2025-01-18,CS05,거절
C00351,L00546,2025-01-09,CS01,진행
C00352,L00547,2025-01-09,CS02,진행
C00353,L00548,2025-01-27,CS07,진행
C00354,L00550,2025-01-19,CS06,진행
C00355,L00551,2025-01-14,CS06,보류
C00356,L00552,2025-01-30,CS07,진행
C00357,L00554,2025-01-28,CS05,진행
C00358,L00555,2025-01-12,CS03,거절
C00359,L00558,2025-01-17,CS02,진행
C00360,L00560,2025-01-11,CS03,거절
C00361,L00561,2025-01-21,CS01,진행
C00362,L00562,2025-01-29,CS08,진행
C00363,L00563,2025-01-14,CS06,거절
C00364,L00564,2025-01-30,CS08,보류
C00365,L00565,2025-01-29,CS08,진행
C00366,L00566,2025-01-28,CS08,보류
C00367,L00567,2025-01-26,CS04,진행
C00368,L00570,2025-01-26,CS06,진행
C00369,L00573,2025-01-22,CS02,진행
C00370,L00574,2025-01-29,CS02,진행
C00371,L00575,2025-01-30,CS05,진행
C00372,L00576,2025-01-05,CS01,거절
C00373,L00578,2025-01-20,CS02,진행
C00374,L00579,2025-01-21,CS08,진행
C00375,L00580,2025-01-29,CS01,진행
C00376,L00581,2025-01-21,CS01,보류
C00377,L00582,2025-01-30,CS03,진행
C00378,L00584,2025-01-10,CS05,진행
C00379,L00585,2025-01-26,CS08,진행
C00380,L00588,2025-01-16,CS06,진행
C00381,L00590,2025-02-15,CS04,진행
C00382,L00593,2025-02-10,CS03,거절
C00383,L00595,2025-02-28,CS04,진행
C00384,L00596,2025-02-16,CS04,진행
C00385,L00597,2025-02-14,CS03,진행
C00386,L00598,2025-02-22,CS08,진행
C00387,L00599,2025-02-19,CS02,보류
C00388,L00600,2025-02-24,CS06,진행
C00389,L00602,2025-02-23,CS04,진행
C00390,L00603,2025-02-09,CS03,진행
C00391,L00604,2025-02-28,CS05,보류
C00392,L00606,2025-02-09,CS05,진행
C00393,L00607,2025-02-07,CS05,진행
C00394,L00609,2025-02-12,CS01,진행
C00395,L00611,2025-02-09,CS01,보류
C00396,L00613,2025-02-10,CS02,진행
C00397,L00614,2025-02-17,CS01,진행
C00398,L00615,2025-02-10,CS05,진행
C00399,L00616,2025-02-15,CS04,진행
C00400,L00618,2025-02-12,CS03,진행
C00401,L00619,2025-03-01,CS07,진행
C00402,L00620,2025-02-08,CS01,진행
C00403,L00621,2025-02-05,CS06,거절
C00404,L00622,2025-02-27,CS06,진행
C00405,L00623,2025-02-17,CS02,진행
C00406,L00625,2025-02-15,CS07,진행
C00407,L00626,2025-02-17,CS06,보류
C00408,L00628,2025-02-07,CS01,진행
C00409,L00629,2025-02-21,CS03,진행
C00410,L00634,2025-02-06,CS03,진행
C00411,L00635,2025-02-06,CS02,진행
C00412,L00636,2025-02-25,CS04,진행
C00413,L00637,2025-03-04,CS06,진행
C00414,L00639,2025-02-15,CS03,진행
C00415,L00641,2025-03-04,CS01,진행
C00416,L00642,2025-02-16,CS04,진행
C00417,L00644,2025-02-27,CS01,진행
C00418,L00645,2025-02-27,CS05,진행
C00419,L00646,2025-02-05,CS07,보류
C00420,L00651,2025-02-07,CS04,진행
C00421,L00652,2025-03-01,CS08,진행
C00422,L00653,2025-03-03,CS07,보류
C00423,L00658,2025-02-24,CS08,보류
C00424,L00660,2025-03-01,CS01,진행
C00425,L00662,2025-02-03,CS01,진행
C00426,L00663,2025-02-15,CS07,진행
C00427,L00664,2025-02-27,CS05,거절
C00428,L00666,2025-03-01,CS04,진행
C00429,L00668,2025-02-25,CS03,진행
C00430,L00669,2025-04-01,CS06,보류
C00431,L00672,2025-03-09,CS01,진행
C00432,L00674,2025-03-25,CS03,진행
C00433,L00675,2025-03-12,CS02,진행
C00434,L00677,2025-03-24,CS06,진행
C00435,L00678,2025-03-28,CS04,진행
C00436,L00680,2025-04-01,CS02,진행
C00437,L00682,2025-03-24,CS02,진행
C00438,L00684,2025-03-25,CS03,진행
C00439,L00685,2025-03-31,CS03,진행
C00440,L00686,2025-03-03,CS02,진행
C00441,L00688,2025-03-06,CS07,보류
C00442,L00689,2025-03-14,CS06,진행
C00443,L00690,2025-03-30,CS01,거절
C00444,L00691,2025-03-11,CS08,진행
C00445,L00693,2025-03-27,CS04,진행
C00446,L00694,2025-03-10,CS04,진행
C00447,L00695,2025-03-08,CS07,진행
C00448,L00704,2025-03-06,CS08,진행
C00449,L00706,2025-03-19,CS06,진행
C00450,L00709,2025-03-03,CS03,진행
C00451,L00711,2025-03-24,CS07,진행
C00452,L00712,2025-03-26,CS01,진행
C00453,L00713,2025-03-29,CS01,거절
C00454,L00714,2025-03-26,CS04,진행
C00455,L00716,2025-03-10,CS07,보류
C00456,L00717,2025-03-14,CS08,진행
C00457,L00718,2025-03-21,CS03,진행
C00458,L00719,2025-03-19,CS06,진행
C00459,L00721,2025-03-30,CS06,보류
C00460,L00722,2025-03-10,CS08,보류
C00461,L00725,2025-03-24,CS05,보류
C00462,L00726,2025-03-29,CS05,진행
C00463,L00729,2025-03-17,CS05,보류
C00464,L00730,2025-03-18,CS07,진행
C00465,L00731,2025-03-08,CS05,진행
C00466,L00733,2025-03-23,CS07,진행
C00467,L00736,2025-03-19,CS07,진행
C00468,L00737,2025-03-08,CS06,거절
C00469,L00738,2025-03-08,CS01,거절
C00470,L00740,2025-04-01,CS06,보류
C00471,L00741,2025-04-24,CS05,진행
C00472,L00742,2025-05-01,CS07,거절
C00473,L00743,2025-04-15,CS04,거절
C00474,L00744,2025-04-29,CS05,진행
C00475,L00745,2025-04-28,CS05,진행
C00476,L00746,2025-04-15,CS01,진행
C00477,L00747,2025-04-28,CS06,진행
C00478,L00748,2025-04-11,CS04,진행
C00479,L00750,2025-04-19,CS07,진행
C00480,L00751,2025-04-18,CS07,보류
C00481,L00753,2025-04-04,CS01,진행
C00482,L00756,2025-04-20,CS07,진행
C00483,L00757,2025-04-26,CS02,진행
C00484,L00758,2025-04-03,CS03,진행
C00485,L00759,2025-04-23,CS04,보류
C00486,L00760,2025-04-16,CS04,진행
C00487,L00761,2025-04-17,CS06,보류
C00488,L00763,2025-04-26,CS03,거절
C00489,L00764,2025-04-23,CS05,진행
C00490,L00765,2025-04-17,CS06,보류
C00491,L00766,2025-04-11,CS05,진행
C00492,L00767,2025-04-06,CS08,진행
C00493,L00769,2025-04-11,CS04,진행
C00494,L00771,2025-04-28,CS06,보류
C00495,L00772,2025-04-16,CS06,진행
C00496,L00773,2025-04-20,CS08,거절
C00497,L00774,2025-04-14,CS02,보류
C00498,L00775,2025-04-15,CS02,보류
C00499,L00776,2025-04-10,CS04,진행
C00500,L00778,2025-04-03,CS01,거절
C00501,L00780,2025-04-19,CS04,보류
C00502,L00781,2025-04-16,CS02,진행
C00503,L00784,2025-04-22,CS06,보류
C00504,L00785,2025-04-29,CS05,진행
C00505,L00786,2025-04-30,CS04,진행
C00506,L00789,2025-04-20,CS05,진행
C00507,L00790,2025-04-12,CS04,보류
C00508,L00791,2025-04-07,CS08,진행
C00509,L00792,2025-04-09,CS04,진행
C00510,L00793,2025-04-23,CS04,진행
C00511,L00795,2025-04-06,CS05,진행
C00512,L00796,2025-04-09,CS06,진행
C00513,L00797,2025-04-04,CS05,진행
C00514,L00798,2025-04-17,CS01,진행
C00515,L00799,2025-04-24,CS03,진행
C00516,L00800,2025-04-18,CS07,진행
C00517,L00801,2025-04-17,CS05,진행
C00518,L00805,2025-04-26,CS05,진행
C00519,L00807,2025-04-24,CS04,진행
C00520,L00809,2025-04-22,CS07,진행
C00521,L00811,2025-05-14,CS03,진행
C00522,L00812,2025-05-03,CS02,진행
C00523,L00813,2025-05-18,CS04,진행
C00524,L00815,2025-05-30,CS06,진행
C00525,L00816,2025-05-19,CS07,진행
C00526,L00817,2025-05-05,CS04,거절
C00527,L00818,2025-05-14,CS04,보류
C00528,L00820,2025-05-16,CS03,거절
C00529,L00822,2025-05-16,CS01,진행
C00530,L00825,2025-05-07,CS04,보류
C00531,L00826,2025-05-11,CS07,진행
C00532,L00827,2025-05-09,CS03,진행
C00533,L00830,2025-05-21,CS02,진행
C00534,L00831,2025-05-14,CS07,진행
C00535,L00832,2025-05-12,CS07,보류
C00536,L00833,2025-05-06,CS05,진행
C00537,L00834,2025-05-21,CS01,진행
C00538,L00835,2025-05-20,CS06,진행
C00539,L00837,2025-05-10,CS01,진행
C00540,L00841,2025-05-26,CS06,진행
C00541,L00843,2025-05-09,CS08,보류
C00542,L00844,2025-05-03,CS08,진행
C00543,L00845,2025-05-13,CS03,거절
C00544,L00846,2025-05-11,CS04,진행
C00545,L00847,2025-05-12,CS05,진행
C00546,L00848,2025-05-14,CS03,진행
C00547,L00849,2025-05-18,CS06,진행
C00548,L00850,2025-05-29,CS03,진행
C00549,L00851,2025-05-02,CS02,진행
C00550,L00852,2025-05-24,CS08,진행
C00551,L00853,2025-05-07,CS05,진행
C00552,L00854,2025-05-25,CS01,진행
C00553,L00855,2025-05-30,CS06,진행
C00554,L00856,2025-06-01,CS02,진행
C00555,L00857,2025-05-23,CS01,진행
C00556,L00858,2025-05-25,CS05,거절
C00557,L00859,2025-05-26,CS01,진행
C00558,L00860,2025-05-10,CS03,진행
C00559,L00862,2025-05-12,CS04,거절
C00560,L00863,2025-05-27,CS07,진행
C00561,L00864,2025-05-15,CS07,거절
C00562,L00865,2025-05-13,CS07,진행
C00563,L00867,2025-05-18,CS08,진행
C00564,L00868,2025-06-27,CS04,보류
C00565,L00872,2025-06-12,CS08,진행
C00566,L00873,2025-06-12,CS07,진행
C00567,L00874,2025-06-04,CS02,진행
C00568,L00875,2025-06-12,CS03,진행
C00569,L00876,2025-06-11,CS08,진행
C00570,L00878,2025-06-10,CS07,보류
C00571,L00879,2025-06-17,CS03,진행
C00572,L00881,2025-06-09,CS07,진행
C00573,L00882,2025-06-16,CS01,진행
C00574,L00888,2025-06-05,CS02,진행
C00575,L00891,2025-07-01,CS06,거절
C00576,L00896,2025-06-15,CS05,보류
C00577,L00897,2025-06-10,CS04,진행
C00578,L00899,2025-06-12,CS01,보류
C00579,L00900,2025-06-04,CS05,보류
C00580,L00902,2025-06-05,CS08,진행
C00581,L00903,2025-06-04,CS01,진행
C00582,L00905,2025-06-20,CS06,진행
C00583,L00906,2025-06-28,CS06,진행
C00584,L00910,2025-06-22,CS03,진행
C00585,L00912,2025-06-07,CS05,보류
C00586,L00914,2025-06-11,CS04,진행
C00587,L00915,2025-06-27,CS05,진행
C00588,L00916,2025-06-02,CS02,진행
C00589,L00917,2025-06-08,CS07,진행
C00590,L00919,2025-06-12,CS08,진행
C00591,L00920,2025-06-21,CS02,거절
C00592,L00921,2025-06-04,CS03,진행
C00593,L00922,2025-06-10,CS08,진행
C00594,L00923,2025-06-27,CS01,거절
C00595,L00925,2025-06-25,CS03,진행
C00596,L00927,2025-06-07,CS05,진행
C00597,L00932,2025-06-20,CS02,진행
C00598,L00934,2025-06-13,CS06,진행
C00599,L00935,2025-06-06,CS04,거절
C00600,L00936,2025-06-06,CS04,진행
C00601,L00939,2025-07-15,CS08,거절
C00602,L00940,2025-07-08,CS05,진행
C00603,L00942,2025-07-20,CS08,진행
C00604,L00943,2025-07-14,CS07,진행
C00605,L00944,2025-07-17,CS02,진행
C00606,L00945,2025-07-29,CS04,진행
C00607,L00948,2025-07-23,CS06,진행
C00608,L00949,2025-07-05,CS07,진행
C00609,L00950,2025-07-04,CS01,진행
C00610,L00952,2025-07-06,CS01,진행
C00611,L00953,2025-07-10,CS03,진행
C00612,L00954,2025-07-21,CS08,진행
C00613,L00957,2025-07-15,CS06,진행
C00614,L00958,2025-07-25,CS02,진행
C00615,L00960,2025-07-30,CS04,진행
C00616,L00962,2025-07-15,CS02,보류
C00617,L00964,2025-07-30,CS01,진행
C00618,L00967,2025-07-09,CS06,진행
C00619,L00968,2025-07-26,CS01,보류
C00620,L00969,2025-07-27,CS04,거절
C00621,L00970,2025-07-22,CS08,진행
C00622,L00971,2025-07-20,CS06,보류
C00623,L00972,2025-07-24,CS04,진행
C00624,L00973,2025-07-14,CS03,진행
C00625,L00975,2025-07-26,CS01,진행
C00626,L00979,2025-07-27,CS02,진행
C00627,L00982,2025-07-09,CS06,보류
C00628,L00984,2025-07-11,CS05,진행
C00629,L00986,2025-07-12,CS02,진행
C00630,L00989,2025-07-04,CS05,진행
C00631,L00990,2025-07-24,CS01,보류
C00632,L00991,2025-07-30,CS07,보류
C00633,L00992,2025-07-20,CS07,거절
C00634,L00993,2025-07-30,CS07,진행
